file_path,file_type,layer,purpose_in_shadow_os,active_runtime,historical_reference,future_provider_or_n8n,proof_only,route_family,registered,registry_source,has_upstream_pointer,has_downstream_pointer,has_validator_binding,has_schema_or_contract,has_lineage,path_valid,status,gap
agents/agent_governance_002/agent_governance_002_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_003/agent_governance_003_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_004/agent_governance_004_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_005/agent_governance_005_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_006/agent_governance_006_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_007/agent_governance_007_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_008/agent_governance_008_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_009/agent_governance_009_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_governance_010/agent_governance_010_agent.py,.py,Agent,Agent,true,false,true,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_kernel_001/agent_kernel_001_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_kernel_002/agent_kernel_002_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/agent_kernel_003/agent_kernel_003_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
